"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4209","registerWithExistEmail","Default Suite","Mon Apr 07 19:52:58 EET 2025","passed","Mon Apr 07 19:53:02 EET 2025","automationexercise.LoginSignupTest","TestingNew","automationexercise.LoginSignupTest","registerWithExistEmail"
"","2841","loginWithIncorrectPassword","Default Suite","Mon Apr 07 19:52:47 EET 2025","passed","Mon Apr 07 19:52:50 EET 2025","automationexercise.LoginSignupTest","TestingNew","automationexercise.LoginSignupTest","loginWithIncorrectPassword"
